SA73,51.7174251,-5.0122032
AB56,57.6743925,-2.9288909
TW10,51.4477641,-0.3029046
DG16,54.9971615,-3.0685694
WC1A,51.5201536,-0.1203458
SR7,54.8304225,-1.3630969
EX10,50.6931776,-3.2466004
PH33,56.8218973,-5.1122203
S43,53.2676283,-1.3399055
B91,52.4139981,-1.7833291
DA14,51.4250037,0.1117751
DL3,54.5324842,-1.5715984
TR2,50.2545424,-4.9504488
RM15,51.5087484,0.2762291
B30,52.4219610,-1.9277595
RG12,51.4067523,-0.7500218
WN8,53.5531891,-2.7694762
DN40,53.6210283,-0.2267379
GL4,51.8406968,-2.2188091
W1G,51.5193162,-0.1482679
EH3,55.9519117,-3.2070932
CV32,52.2979862,-1.5314910
M35,53.5072006,-2.1549109
LS88,53.7653158,-1.5014304
SA33,51.8495123,-4.4408804
BN12,50.8139666,-0.4292747
CH49,53.3810989,-3.1039353
BT7,54.5819589,-5.9245497
SW14,51.4653809,-0.2669998
HS4,57.8708700,-6.6963068
IV12,57.5743529,-3.8644897
E11,51.5686864,0.0135501
WR6,52.2298799,-2.3821575
BS9,51.4873280,-2.6267518
BH4,50.7212551,-1.8997372
NP7,51.8294388,-3.0112466
DA10,51.4417805,0.3049871
OX28,51.7869462,-1.4860576
NE83,54.9346400,-1.6151031
TD5,55.5881056,-2.4173178
YO41,53.9705289,-0.9005201
WN2,53.5359217,-2.5821236
NN9,52.3345261,-0.5945016
LN7,53.4932350,-0.3455524
SO25,51.0675552,-1.2973027
CB6,52.4046657,0.2216208
NE4,54.9739843,-1.6445129
CH31,53.3297000,-3.0988332
BB10,53.7995625,-2.2195134
N21,51.6366698,-0.0997398
BT77,54.4273568,-7.1188959
IV49,57.2290084,-5.9436275
WC1X,51.5266751,-0.1151125
PL15,50.6330692,-4.3969382
DH8,54.8569909,-1.8504107
PH24,57.2561205,-3.7449612
IV44,57.1087675,-5.8827494
NE9,54.9313591,-1.5854323
GU51,51.2843531,-0.8424509
RG4,51.4827626,-0.9698039
WC2E,51.5118792,-0.1233747
GL20,52.0022332,-2.1322680
TW14,51.4533965,-0.4217772
TD9,55.3973065,-2.7767413
CA4,54.8471428,-2.8318231
GL13,51.6924740,-2.4613325
SA13,51.6057851,-3.7258236
CM6,51.8783006,0.3661906
ME18,51.2417887,0.4154143
SL1,51.5178471,-0.6222163
HP3,51.7359452,-0.4707053
SA68,51.7295615,-4.7650739
M45,53.5473467,-2.2903765
TN9,51.1916379,0.2749493
LL41,52.9694465,-3.9393403
PA72,56.5183484,-5.9661761
CT1,51.2776176,1.0859171
CW3,52.9979416,-2.4084452
B6,52.5051401,-1.8860786
SW1X,51.4982019,-0.1566313
N17,51.5980699,-0.0717424
EN11,51.7655817,-0.0091349
SY2,52.7055790,-2.7292480
LL52,52.9248691,-4.2409055
ML7,55.8299394,-3.7954225
KW7,58.1867247,-3.5017376
OX18,51.7628074,-1.5916671
HU15,53.7485753,-0.6207806
HR8,52.0447156,-2.4453658
